x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
1.515151515151515243e-08,2.056136517969975533e+26,2.059147748118519546e+26,2.061749161288075475e+26,2.062089527256227206e+26,2.062598919664690398e+26,1.015169707258799608e+26,9.279791519481063164e+25
1.616161616161616215e-08,2.055639022364931214e+26,2.058835679084049940e+26,2.061593912395188436e+26,2.061954564702936864e+26,2.062494217525963674e+26,1.016925800580976552e+26,9.293767617943500747e+25
1.565656565656565729e-08,2.055887994870123344e+26,2.058991803107903945e+26,2.061671559235878684e+26,2.062022062928874869e+26,2.062546578818398891e+26,1.016049560252487947e+26,9.286790831463761947e+25
1.666666666666666702e-08,2.055389599406877579e+26,2.058679375781874212e+26,2.061516220732608438e+26,2.061887032556401312e+26,2.062441835777156198e+26,1.017798454325757209e+26,9.300721995999706791e+25
1.616161616161616215e-08,2.055639022432959717e+26,2.058835679101236337e+26,2.061593912397351381e+26,2.061954564704362793e+26,2.062494217526633002e+26,1.016925798936941755e+26,9.293767610545950437e+25
1.717171717171717188e-08,2.055139724740799135e+26,2.058522892884169374e+26,2.061438484208216800e+26,2.061819466462966177e+26,2.062389433559731682e+26,1.018667552205093149e+26,9.307654103972330073e+25
1.666666666666666702e-08,2.055389599475142133e+26,2.058679375799098749e+26,2.061516220734772415e+26,2.061887032557829302e+26,2.062441835777826900e+26,1.017798452700325289e+26,9.300721988661207128e+25
1.767676767676767674e-08,2.054889397175288445e+26,2.058366230090220027e+26,2.061360702784213340e+26,2.061751866397724084e+26,2.062337010862106085e+26,1.019533122946242670e+26,9.314564071703714047e+25
1.717171717171717188e-08,2.055139724809299740e+26,2.058522892901430332e+26,2.061438484210383181e+26,2.061819466464394511e+26,2.062389433560403415e+26,1.018667550597999365e+26,9.307654096692290069e+25
1.818181818181818160e-08,2.054638615514875381e+26,2.058209387098665839e+26,2.061282876422755619e+26,2.061684232335745326e+26,2.062284567672690210e+26,1.020395194952985001e+26,9.321452028006057697e+25
1.767676767676767674e-08,2.054889397244027507e+26,2.058366230107520499e+26,2.061360702786382814e+26,2.061751866399153449e+26,2.062337010862779192e+26,1.019533121357228294e+26,9.314564064481563330e+25
1.868686868686868646e-08,2.054387378560016807e+26,2.058052363607491926e+26,2.061205005085959275e+26,2.061616564252078891e+26,2.062232103979880773e+26,1.021253796310162315e+26,9.328318100671584303e+25
1.818181818181818160e-08,2.054638615583852899e+26,2.058209387116004794e+26,2.061282876424927498e+26,2.061684232337176065e+26,2.062284567673363660e+26,1.020395193381796113e+26,9.321452020841217306e+25
1.919191919191919132e-08,2.054135685107075626e+26,2.057895159314028505e+26,2.061127088735902496e+26,2.061548862121747310e+26,2.062179619772070712e+26,1.022108954788152335e+26,9.335162416482504045e+25
1.868686868686868646e-08,2.054387378629233812e+26,2.058052363624869707e+26,2.061205005088134246e+26,2.061616564253511348e+26,2.062232103980554911e+26,1.021253794756550151e+26,9.328318093563483866e+25
1.969696969696969618e-08,2.053883533948308066e+26,2.057737773914948495e+26,2.061049127334612961e+26,2.061481125919749065e+26,2.062127115037642998e+26,1.022960697847253328e+26,9.341985101221010967e+25
1.919191919191919132e-08,2.054135685176534524e+26,2.057895159331443739e+26,2.061127088738079529e+26,2.061548862123180455e+26,2.062179619772744850e+26,1.022108953251869334e+26,9.335162409430590369e+25
2.020202020202020104e-08,2.053630923871841001e+26,2.057580207106270945e+26,2.060971120844087082e+26,2.061413355621063049e+26,2.062074589764969267e+26,1.023809052642007069e+26,9.348786279679013662e+25
1.969696969696969618e-08,2.053883534018008170e+26,2.057737773932402898e+26,2.061049127336793087e+26,2.061481125921185302e+26,2.062127115038317480e+26,1.022960696328058627e+26,9.341985094224737734e+25
2.070707070707070921e-08,2.053377853661662674e+26,2.057422458583354857e+26,2.060893069226275227e+26,2.061345551200638953e+26,2.062022043942419776e+26,1.024654046025452067e+26,9.355566075667869379e+25
2.020202020202020104e-08,2.053630923941785746e+26,2.057580207123763488e+26,2.060971120846269612e+26,2.061413355622500317e+26,2.062074589765643061e+26,1.023809051139663415e+26,9.348786272737831116e+25
2.121212121212121407e-08,2.053124322097594179e+26,2.057264528040890591e+26,2.060814972443083442e+26,2.061277712633405161e+26,2.061969477558342795e+26,1.025495704553288650e+26,9.362324612027889646e+25
2.070707070707070921e-08,2.053377853731849312e+26,2.057422458600885196e+26,2.060893069228459132e+26,2.061345551202075190e+26,2.062022043943091852e+26,1.024654044539722893e+26,9.355566068781231199e+25
2.171717171717171893e-08,2.052870327955289805e+26,2.057106415172918075e+26,2.060736830456382038e+26,2.061209839894265322e+26,2.061916890601093808e+26,1.026334054488000588e+26,9.369062010637869947e+25
